MariaDB [(none)]> CREATE DATABASE szkola
    -> ;
Query OK, 1 row affected (0.01 sec)

MariaDB [(none)]> USE szkola
Database changed

MariaDB [szkola]> SOURCE uczniowie.txt
Query OK, 0 rows affected (0.16 sec)

Query OK, 652 rows affected (0.11 sec)
Records: 652  Duplicates: 0  Warnings: 0

MariaDB [szkola]> SHOW TABLES
    -> ;
+------------------+
| Tables_in_szkola |
+------------------+
| uczniowie        |
+------------------+
1 row in set (0.00 sec)

MariaDB [szkola]> SELECT * FROM uczniowie
    -> ;
+-------+------------+-----------------+------------+--------+-------------+-----------+-----------+--------+--------+----------+------------+
| nr    | imie       | nazwisko        | matematyka | fizyka | informatyka | angielski | geografia | chemia | polski | historia | wychowawca |
+-------+------------+-----------------+------------+--------+-------------+-----------+-----------+--------+--------+----------+------------+
| 13713 | Monika     | Frankowski      |        4.6 |    4.5 |         1.8 |       1.7 |       2.1 |    4.3 |    1.3 |      2.6 | Blachy     |
| 13714 | Jan        | lapka           |        5.3 |    1.9 |         5.9 |         3 |       2.6 |    5.8 |    4.7 |      2.1 | Godowski   |
| 13715 | Miroslawa  | Nowak           |          5 |    2.5 |         2.2 |       1.5 |       5.5 |    3.8 |    4.4 |      5.3 | Krakowski  |
| 13716 | Krzysztof  | Maciejak        |        4.2 |    5.8 |         1.4 |       1.5 |         3 |    1.4 |    4.4 |      4.3 | Muryn      |
| 13717 | Wiktor     | Zagrodzki       |        2.3 |    3.9 |         5.6 |       1.3 |       3.6 |    3.2 |    1.7 |      2.2 | Siwy       |
| 13718 | Feliks     | Nowak           |        4.2 |    5.6 |         1.7 |       2.9 |       4.9 |    4.5 |    2.9 |      5.9 | Fasola     |
| 13719 | Iwona      | Zawada          |        3.7 |    2.6 |         1.3 |       3.7 |       3.2 |    5.1 |    4.5 |      4.9 | Pala       |
| 13720 | Jan        | Wronski         |        4.8 |    2.6 |         1.4 |       1.5 |       4.6 |    3.4 |    4.5 |      3.8 | Sewiolo    |
| 13721 | Jan        | Smilek          |        3.5 |      3 |         4.2 |       2.7 |       5.2 |    4.4 |    2.1 |      4.1 | Siwy       |
| 13722 | Krzysztof  | Chrusciel       |        3.9 |    3.7 |         1.3 |       3.8 |       4.8 |    1.5 |    2.4 |      2.6 | Agat       |
| 13723 | Boleslaw   | Dolinska        |        5.7 |    3.7 |         4.7 |       4.7 |       1.8 |    2.1 |    1.1 |      2.1 | Czech      |
| 13724 | Adam       | Molenda         |        1.9 |    2.2 |         2.1 |       3.5 |       2.6 |    5.6 |    4.6 |      4.2 | Jasiek     |
| 13725 | Maciej     | Piekos          |        2.6 |    5.5 |         4.9 |       2.6 |       5.6 |    1.5 |    3.5 |        2 | Kot        |
| 13726 | Tomasz     | Milos           |        4.4 |    2.1 |         1.3 |       2.7 |       2.4 |    5.2 |    5.9 |      5.9 | Blachy     |
| 13727 | Marcin     | Czarnek         |        3.3 |    2.7 |         5.3 |       1.7 |       2.6 |    4.7 |    2.8 |      4.4 | sliwa      |
| 13728 | Krzysztof  | Kryczko         |        4.7 |    2.2 |         2.7 |       2.3 |       4.3 |    3.3 |    2.8 |      4.2 | Kowal      |
| 13729 | Andrzej    | Kaliszan        |        1.6 |    5.7 |           6 |       1.9 |       1.9 |    1.9 |    3.1 |        3 | Baj        |
| 13730 | Maria      | Marek           |        3.1 |    1.9 |         4.6 |         6 |         4 |    4.9 |    4.1 |      1.8 | Sek        |
| 13731 | Pawel      | Morawski        |        2.8 |    4.5 |         1.4 |       3.4 |       4.1 |    2.6 |    5.2 |      2.1 | Pies       |
| 13732 | Joanna     | Molenda         |        3.7 |    2.9 |         4.9 |       3.8 |       3.2 |    1.9 |    4.5 |      1.6 | Broda      |
| 13733 | Justyna    | Czarnek         |        1.8 |    1.2 |         4.9 |       2.4 |         5 |    3.2 |      5 |      3.9 | Bialy      |
| 13734 | Aleksandra | Miaskiewicz     |        2.4 |    2.3 |           3 |       1.5 |         1 |    3.7 |    1.7 |      5.4 | Baran      |
| 13735 | Maciej     | Mitkowski       |        4.2 |    3.6 |         1.8 |       1.9 |       1.7 |    4.6 |    1.9 |      5.1 | Rusek      |
| 13736 | Barbara    | Taczuk          |        5.4 |    2.2 |         3.2 |       5.8 |         3 |    2.5 |    1.6 |      4.8 | Armatys    |
| 13737 | Michal     | Kot             |        3.7 |    5.5 |         2.6 |       5.9 |       4.6 |    5.4 |    4.8 |      3.8 | Ospala     |
| 13738 | Cecylia    | Chrusciel       |        1.1 |    5.6 |         1.6 |         3 |       2.1 |    2.7 |    5.8 |      1.4 | Gruszka    |
| 13739 | Janusz     | Zawada          |        4.9 |    1.5 |         4.2 |       5.5 |       3.9 |    1.1 |    5.5 |      2.4 | Kowal      |
| 13740 | Wiktor     | Bagsik          |        2.5 |      3 |         1.4 |       5.1 |       2.7 |    5.7 |    3.5 |      5.5 | Czech      |
| 13741 | Stefan     | Biegan          |          2 |    4.8 |         2.4 |       4.3 |       5.3 |    3.8 |      2 |      4.1 | Jakubowski |
| 13742 | Cecylia    | Molenda         |        2.6 |    5.5 |         1.6 |       1.7 |       3.5 |    4.8 |      2 |      4.7 | Pies       |
| 13743 | Miroslawa  | Budkowski       |        5.4 |    2.6 |         3.2 |       1.7 |       2.3 |    1.8 |    2.1 |      4.2 | Koba       |
| 13744 | Zygmunt    | Siwy            |        5.4 |    4.8 |         4.1 |       4.6 |       4.8 |    4.5 |    5.3 |      1.2 | Zdanowicz  |
| 13745 | Alina      | Szczerba        |        1.4 |    5.6 |           4 |         1 |         2 |    5.3 |      5 |      1.7 | Zawada     |
| 13746 | Janusz     | Jackowski       |          3 |    1.6 |         5.4 |       2.2 |         3 |    2.1 |    3.8 |      3.5 | Gruszka    |
| 13747 | Boleslaw   | Szlachcic       |        1.4 |      5 |         3.2 |       1.4 |         5 |    2.1 |    1.4 |      5.3 | Armatys    |
| 13748 | Iwona      | Szczesna        |        4.6 |    2.2 |         2.4 |       5.9 |       1.3 |    2.5 |    5.6 |      1.6 | Czeresnia  |
| 13749 | Zygmunt    | Szczesny        |        1.5 |    4.6 |         4.3 |       2.2 |       3.1 |    3.1 |    4.1 |      2.9 | Siwy       |
| 13750 | Cecylia    | Szostak         |        4.6 |    5.9 |         1.3 |       4.8 |       1.9 |    1.6 |      5 |      1.5 | Koba       |
| 13751 | Iwona      | Przygoda        |        4.9 |    1.7 |         2.9 |       2.9 |       5.1 |    3.1 |    3.1 |      1.5 | Rusek      |
| 13752 | Pawel      | Gorski          |          3 |      6 |         4.9 |       2.4 |       2.6 |    1.3 |    3.9 |      4.2 | Molenda    |
| 13753 | Mariusz    | Nowak           |        3.9 |      5 |         1.2 |       5.1 |       3.1 |      5 |    4.6 |      4.4 | Baj        |
| 13754 | Tomasz     | lapka           |        5.7 |    2.7 |         1.7 |       2.8 |       1.9 |    5.9 |    5.6 |      5.6 | Godowski   |
| 13755 | Michal     | Lopacz          |          3 |    2.4 |         1.2 |       5.5 |       5.9 |    3.4 |    5.7 |      1.4 | Komar      |
| 13756 | Jaroslaw   | Nowicki         |        1.8 |    2.3 |         4.6 |       2.9 |       5.3 |    2.1 |    5.3 |      2.7 | Samson     |
| 13757 | Piotr      | lapka           |        2.2 |    5.3 |         4.1 |       5.2 |       4.8 |    4.3 |    2.4 |      3.9 | Lesiak     |
| 13758 | Katarzyna  | Bialy           |        3.3 |    5.1 |         5.6 |         3 |       5.4 |    2.7 |    5.3 |      1.4 | zbik       |
| 13759 | Magdalena  | Fiema           |        1.6 |      4 |         1.2 |       5.5 |       4.5 |      3 |    4.2 |      5.9 | Gruszka    |
| 13760 | Anna       | Bereta          |        4.1 |    3.3 |         4.8 |       4.4 |       1.3 |    2.1 |    5.2 |        4 | Czech      |
| 13761 | Magdalena  | Tusinski        |        1.2 |    3.9 |         1.3 |       3.3 |       3.9 |    5.9 |    3.3 |      2.4 | Stalone    |
| 13762 | Maciej     | Sadecki         |        1.1 |    1.9 |         5.6 |       4.6 |       3.5 |    5.4 |    1.1 |      4.7 | Kret       |
| 13763 | lukasz     | Popielarczyk    |        1.8 |    2.2 |         4.8 |       2.8 |       1.4 |    1.5 |    3.3 |      1.1 | Fasola     |
| 13764 | Adam       | Adamczyk        |        3.7 |    1.3 |           3 |       3.2 |       3.9 |    2.8 |    2.3 |      5.7 | Agat       |
| 13765 | Pawel      | Daniel          |          1 |    1.5 |         4.6 |       4.1 |       4.2 |    3.1 |    4.6 |      5.9 | Bialy      |
| 13766 | Malgorzata | Cieluch         |        4.5 |    3.4 |         3.1 |       3.2 |       4.3 |    5.6 |    2.5 |      1.5 | Jasiek     |
| 13767 | Malgorzata | Zuchowska       |        1.2 |      1 |         2.3 |       4.4 |       4.4 |      3 |    5.4 |      2.8 | zbik       |
| 13768 | Sylwia     | Ospala          |        4.4 |    2.6 |         5.2 |       1.8 |       3.5 |    3.9 |    2.1 |      5.6 | Mleczko    |
| 13769 | Barbara    | Mlynarczyk      |        2.1 |    1.3 |           2 |       3.8 |       2.4 |    5.1 |    1.2 |        4 | Sewiolo    |
| 13770 | Jan        | zelazny         |        4.4 |    1.7 |         2.9 |       2.4 |       2.2 |    5.6 |    4.2 |        4 | Maciarz    |
| 13771 | Krzysztof  | Zajac           |        5.3 |    5.5 |         5.7 |       3.9 |       2.9 |    5.1 |    2.4 |        2 | Wegier     |
| 13772 | Zygmunt    | Makyla          |        5.2 |    3.1 |         3.6 |       5.7 |       4.2 |    3.6 |    1.2 |        3 | Sek        |
| 13773 | Stefan     | Kosiorowski     |        1.7 |    1.6 |         1.4 |       2.3 |       4.9 |    4.2 |    2.3 |      1.4 | Niemiec    |
| 13774 | Stefan     | Zielinski       |        5.8 |    2.2 |         2.5 |       1.1 |       1.9 |    4.9 |    3.1 |      1.8 | Zdanowicz  |
| 13775 | Janusz     | Wasniowska      |        1.8 |    4.7 |         1.2 |       2.2 |       3.2 |    5.6 |    2.9 |        1 | Jasiek     |
| 13776 | Krzysztof  | Molenda         |        3.5 |    2.8 |           4 |       4.3 |       4.4 |    3.8 |    2.8 |      1.4 | Molenda    |
| 13777 | Alina      | Siemieszko      |        2.4 |    3.9 |           2 |       3.8 |       1.7 |    4.4 |    2.9 |      1.5 | Agat       |
| 13778 | Barbara    | Chrusciel       |        2.3 |    3.8 |         1.8 |       4.9 |       1.6 |      3 |    2.4 |      4.6 | Godowski   |
| 13779 | Alina      | Tokarz          |        3.2 |    3.4 |         3.9 |       2.5 |       3.6 |    4.5 |    3.7 |      4.6 | Siwy       |
| 13780 | Iwona      | Salacinski      |        5.6 |    1.7 |         2.5 |       1.3 |         3 |      2 |    4.6 |      1.3 | Blachy     |
| 13781 | Alina      | Ksiazek         |        3.7 |      2 |         4.1 |       1.8 |       5.3 |    3.1 |    4.9 |      1.5 | Broda      |
| 13782 | Stanislaw  | Czarnek         |        1.1 |    1.7 |         5.5 |       3.4 |       4.7 |    4.5 |    4.9 |      1.9 | Samson     |
| 13783 | Piotr      | Nowak           |          5 |    3.6 |         3.5 |       5.7 |       1.3 |    2.3 |      5 |      5.2 | Stalone    |
| 13784 | Patryk     | Piela           |          1 |    4.7 |         5.1 |       4.6 |       4.2 |    3.4 |      6 |        3 | Zieba      |
| 13785 | lukasz     | Zabierowski     |        4.3 |    1.8 |         1.5 |       2.4 |       1.8 |    2.3 |    4.5 |      2.4 | Kowal      |
| 13786 | Michal     | Wolanska        |        3.1 |    3.1 |         1.8 |       2.1 |       4.2 |    2.8 |    4.8 |      3.4 | Lesiak     |
| 13787 | Bartlomiej | Tworzewski      |        2.3 |      1 |         4.3 |       4.2 |       2.5 |    1.6 |    3.5 |      3.7 | Zdanowicz  |
| 13788 | Beata      | Pietras         |        5.7 |    3.1 |         3.4 |       2.9 |       2.9 |    2.2 |    3.5 |      3.5 | Koba       |
| 13789 | Anna       | Chrusciel       |        3.5 |    1.8 |         5.5 |       3.1 |         2 |    1.9 |    2.5 |      3.2 | Baran      |
| 13790 | Jacek      | Barcinski       |        1.9 |    5.6 |         2.6 |       1.8 |       2.1 |    1.6 |    5.7 |      2.8 | Krakowski  |
| 13791 | Bartosz    | Dudek           |        1.3 |    4.1 |         4.9 |       5.5 |       5.2 |    4.4 |    2.7 |        5 | Muryn      |
| 13792 | Kinga      | lapka           |        5.2 |    4.4 |         3.7 |       5.4 |       2.7 |    2.2 |    4.6 |      4.3 | Broda      |
| 13793 | Jadwiga    | Bialy           |        3.7 |      5 |         4.3 |       4.3 |       2.7 |    5.4 |    3.9 |      2.2 | Zawada     |
| 13794 | Grzegorz   | Zagrodzki       |          6 |      2 |           1 |       2.3 |       2.4 |    4.3 |    1.7 |      3.9 | Jung       |
| 13795 | Michal     | Wohlfeld        |          5 |    1.1 |         1.1 |         3 |       3.8 |    3.4 |    2.8 |      5.2 | Krakowski  |
| 13796 | Robert     | Kolodziej       |        2.4 |    2.2 |         2.9 |       5.3 |       2.7 |    4.5 |    3.5 |      1.4 | Piwko      |
| 13797 | Malwina    | Mech            |        3.7 |    4.9 |         2.6 |       2.4 |       5.9 |    5.8 |    5.3 |      3.9 | Zieba      |
